0,Person,人
1,Bicycle,自行车
2,Car,汽车
3,Motorcycle,摩托车
4,Airplane,飞机
5,Bus,公交车
6,Train,火车
7,Truck,卡车
8,Boat,船
9,Traffic light,交通信号灯
10,Fire hydrant,消防栓
11,Stop sign,停止标志
12,Parking meter,停车表
13,Bench,长椅
14,Bird,鸟
15,Cat,猫
16,Dog,狗
17,Horse,马
18,Sheep,羊
19,Cow,牛
20,Elephant,大象
21,Bear,熊
22,Zebra,斑马
23,Giraffe,长颈鹿
24,Backpack,背包
25,Umbrella,雨伞
26,Handbag,手袋
27,Tie,领带
28,Suitcase,行李箱
29,Frisbee,飞盘
30,Skis,滑雪板
31,Snowboard,单板滑雪板
32,Sports ball,体育球
33,Kite,风筝
34,Baseball bat,棒球棒
35,Baseball glove,棒球手套
36,Skateboard,滑板
37,Surfboard,冲浪板
38,Tennis racket,网球拍
39,Bottle,瓶子
40,Wine glass,酒杯
41,Cup,杯子
42,Fork,叉子
43,Knife,刀
44,Spoon,勺子
45,Bowl,碗
46,Banana,香蕉
47,Apple,苹果
48,Sandwich,三明治
49,Orange,橙子
50,Broccoli,西兰花
51,Carrot,胡萝卜
52,Hot dog,热狗
53,Pizza,披萨
54,Donut,甜甜圈
55,Cake,蛋糕
56,Chair,椅子
57,Couch,沙发
58,Potted plant,盆栽
59,Bed,床
60,Dining table,餐桌
61,Toilet,马桶
62,Tv,电视
63,Laptop,笔记本电脑
64,Mouse,鼠标
65,Remote,遥控器
66,Keyboard,键盘
67,Cell phone,手机
68,Microwave,微波炉
69,Oven,烤箱
70,Toaster,烤面包机
71,Sink,水槽
72,Refrigerator,冰箱
73,Book,书
74,Clock,时钟
75,Vase,花瓶
76,Scissors,剪刀
77,Teddy bear,泰迪熊
78,Hair drier,吹风机
79,Toothbrush,牙刷
